NaN,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550
0.140381,0,1,0,0,2,4,8,1,6,1,6,6,2,4,2,2,5,0,0,1,1,2,0,1,2,2,1,1,2,0,0
0.143433,0,0,0,0,1,4,3,2,6,4,4,5,4,1,3,2,2,2,2,2,0,0,5,0,1,1,0,2,0,0,1
0.146484,0,0,0,0,2,0,4,8,7,6,3,4,3,1,2,2,1,2,1,1,0,1,3,2,0,0,3,0,0,0,0
0.149536,0,0,0,0,0,3,4,3,5,3,5,0,6,0,1,7,0,2,2,1,2,1,1,3,2,0,0,2,1,0,0
0.152588,0,0,0,0,1,2,2,2,4,8,6,4,3,5,3,7,1,3,0,1,2,1,0,0,4,4,0,0,1,1,1
0.15564,0,0,1,0,1,5,2,8,3,7,4,7,4,4,4,3,5,1,1,3,1,1,5,2,0,0,0,0,1,0,2
0.158691,0,0,0,0,2,2,4,2,7,7,2,4,1,2,4,7,1,2,3,2,1,4,4,0,1,0,2,2,0,0,0
0.161743,0,0,0,0,1,4,1,1,6,6,2,6,6,2,5,7,0,4,1,2,1,1,0,2,0,1,1,0,0,0,1
0.164795,0,0,0,0,2,1,6,3,4,6,7,2,6,2,5,1,3,1,3,4,0,0,0,0,0,0,2,2,0,0,0
0.167847,0,0,0,1,2,2,6,3,7,5,5,4,1,2,3,3,2,1,2,1,2,2,1,0,1,1,0,1,1,1,0
0.170898,0,0,0,0,2,3,3,4,4,6,5,4,4,2,1,3,3,3,2,4,3,0,2,2,0,2,1,1,1,1,0
0.17395,0,0,0,1,0,1,7,4,5,1,1,5,3,4,4,5,3,1,5,2,1,0,2,1,3,2,0,0,0,0,0
0.177002,0,0,0,0,1,3,5,5,4,7,5,3,5,3,0,7,2,3,2,2,2,1,1,1,2,2,0,0,0,0,0
0.180054,0,0,0,0,0,5,3,4,0,9,3,4,5,2,2,3,3,1,2,1,0,1,0,0,0,1,1,2,2,0,1
0.183105,0,0,0,0,3,2,3,1,3,2,1,2,2,1,3,5,8,1,0,0,1,3,2,0,1,1,0,0,0,0,2
0.186157,0,0,0,0,1,2,1,4,2,7,3,4,6,3,5,3,4,3,3,0,3,5,0,1,1,1,0,2,1,1,0
0.189209,0,0,0,0,3,0,6,5,2,7,3,4,4,2,2,2,1,0,4,3,1,1,1,1,1,0,1,2,1,0,0
0.192261,0,0,0,0,3,4,5,2,3,9,3,4,4,2,3,3,2,6,3,1,3,1,1,0,0,0,2,0,2,0,0
0.195312,0,0,0,0,0,2,5,3,4,2,4,4,3,4,2,4,1,5,3,1,0,1,2,2,1,0,1,0,1,1,0
0.198364,0,0,0,1,2,4,4,6,2,3,3,4,6,5,1,2,1,3,2,4,3,3,2,0,0,0,0,0,1,0,2
0.201416,0,0,0,0,0,3,3,2,4,6,8,4,5,2,3,6,3,5,2,3,1,1,0,2,3,0,1,0,1,1,1
0.204468,0,0,0,0,0,5,4,5,2,7,4,3,3,2,6,4,2,5,1,4,0,3,3,3,1,3,0,0,0,2,1
0.20752,0,0,0,0,2,4,2,5,1,2,8,6,3,3,3,2,2,1,2,3,1,2,0,1,1,1,1,0,1,1,1
0.210571,0,0,0,0,0,1,7,6,9,6,6,4,1,3,3,6,0,4,1,3,0,0,1,3,1,1,1,0,0,2,0
0.213623,0,1,0,0,1,1,2,4,6,1,7,5,4,4,3,2,4,3,4,2,4,1,1,0,0,1,1,1,0,1,1
0.216675,0,0,0,0,3,2,1,7,4,8,7,3,2,5,2,1,0,2,0,1,3,4,0,0,1,0,1,0,0,2,0
0.219727,0,0,0,0,2,3,2,3,2,6,5,7,6,6,2,2,1,1,1,1,3,1,0,0,2,0,1,1,1,1,0
0.222778,0,0,0,0,2,3,4,2,4,9,4,4,4,3,2,5,4,3,1,2,1,2,0,0,0,2,2,0,0,0,0
0.22583,0,0,0,0,2,6,3,5,2,7,5,4,6,5,2,6,1,3,3,4,1,1,1,1,1,1,0,0,1,0,0
0.228882,0,0,0,1,1,2,3,5,3,7,2,8,7,4,1,2,2,1,2,0,3,0,1,0,2,1,1,0,0,0,1
0.231934,0,0,0,0,2,3,2,2,6,5,6,1,6,4,6,4,4,5,3,3,1,1,1,2,1,2,1,2,0,0,0
0.234985,0,0,0,0,1,3,7,2,5,9,9,6,6,3,4,3,3,3,5,2,1,1,1,0,2,0,0,0,2,1,0
