Well	M1	N1
1.928711	0.000000	0.000000
1.940918	0.000000	0.000000
1.953125	0.000000	0.000000
1.965332	0.000000	0.000000
1.977539	0.000000	0.000000
1.989746	0.000000	0.000000
2.001953	0.000000	0.000000
2.014160	0.000000	0.000000
2.026367	0.000000	0.000000
2.038574	1.000000	0.000000
2.050781	0.000000	0.000000
2.062988	0.000000	0.000000
2.075195	0.000000	0.000000
2.087402	0.000000	0.000000
2.099609	0.000000	0.000000
2.111816	1.000000	0.000000
2.124023	0.000000	0.000000
2.136230	0.000000	0.000000
2.148437	0.000000	0.000000
2.160645	0.000000	0.000000
2.172852	0.000000	0.000000
2.185059	0.000000	0.000000
2.197266	0.000000	0.000000
2.209473	0.000000	0.000000
2.221680	0.000000	0.000000
2.233887	0.000000	0.000000
2.246094	0.000000	0.000000
2.258301	0.000000	0.000000
2.270508	0.000000	0.000000
2.282715	0.000000	0.000000
2.294922	1.000000	0.000000
2.307129	0.000000	0.000000
2.319336	0.000000	0.000000
2.331543	0.000000	0.000000
2.343750	0.000000	0.000000
2.355957	0.000000	0.000000
2.368164	0.000000	0.000000
2.380371	0.000000	0.000000
2.392578	0.000000	0.000000
2.404785	0.000000	0.000000
2.416992	0.000000	0.000000
2.429199	0.000000	0.000000
2.441406	0.000000	0.000000
2.453613	0.000000	0.000000
2.465820	0.000000	0.000000
2.478027	0.000000	0.000000
2.490234	0.000000	0.000000
2.502441	0.000000	0.000000
2.514648	0.000000	0.000000
2.526855	0.000000	0.000000
2.539062	0.000000	1.000000
2.551270	0.000000	1.000000
2.563477	0.000000	0.000000
2.575684	0.000000	0.000000
2.587891	0.000000	0.000000
2.600098	0.000000	0.000000
2.612305	0.000000	0.000000
2.624512	0.000000	0.000000
2.636719	0.000000	0.000000
2.648926	0.000000	0.000000
2.661133	0.000000	0.000000
2.673340	0.000000	0.000000
2.685547	0.000000	1.000000
2.697754	0.000000	0.000000
2.709961	0.000000	0.000000
2.722168	0.000000	0.000000
2.734375	0.000000	0.000000
2.746582	0.000000	0.000000
2.758789	0.000000	0.000000
2.770996	1.000000	0.000000
2.783203	1.000000	0.000000
2.795410	0.000000	0.000000
2.807617	0.000000	0.000000
2.819824	0.000000	0.000000
2.832031	0.000000	0.000000
2.844238	0.000000	0.000000
2.856445	0.000000	0.000000
2.868652	0.000000	1.000000
2.880859	0.000000	0.000000
2.893066	0.000000	0.000000
2.905273	0.000000	0.000000
2.917480	0.000000	0.000000
2.929687	0.000000	0.000000
2.941895	0.000000	0.000000
2.954102	0.000000	0.000000
2.966309	0.000000	0.000000
2.978516	0.000000	0.000000
2.990723	0.000000	1.000000
3.002930	0.000000	0.000000
3.015137	0.000000	0.000000
3.027344	0.000000	0.000000
3.039551	0.000000	0.000000
3.051758	0.000000	0.000000
3.063965	0.000000	0.000000
3.076172	0.000000	0.000000
3.088379	0.000000	0.000000
3.100586	0.000000	0.000000
3.112793	0.000000	0.000000
3.125000	0.000000	0.000000
3.137207	0.000000	0.000000
3.149414	0.000000	0.000000
